,Name
Gerda Mikhailova Nemenova,1
Eliana Gerotto,1
Miriam Kathrein,1
Bernadette Thompson,1
Tsuruko Yamazaki,1
Débora Mesa,1
Linda Plotkin,1
Starr Ockenga,1
Dorothy Sullivan,1
Mary Wykeham,1
Victoria Gitman,1
Christine Boyer,1
Suzanne van Damme,1
Sandy McLeod,1
Adelita Husni-Bey,1
Helen Marden,1
Fumiko Miki,1
Rose Clark,1
Colette Bangert,1
María Teresa Hincapié,1
Candice Lenney,1
Dorothy F. Markle,1
Anna Blume,1
Babette Mangolte,1
Kunié Sugiura,1
Hilla Becher,1
Mrs. Truus Schröder-Schräder,1
Jane Poupelet,1
Eva Schoeler,1
Beca Lipscombe,1
Julie Joliat,1
Elisabeth Grübl,1
Penelope Umbrico,1
Thea Djordjadze,1
Vika Voronova,1
Rania Ghosn,1
Johanna Rille,1
Susan Barron,1
Heike Baranowsky,1
Cécile B. Evans,1
Erika Giovanna Klien,1
Helen Mayer Harrison,1
Reiko Tanabe,1
Jeanette Reinhardt,1
Emily Sundblad,1
Freda Diamond,1
Sofia Zaklikovskaia,1
Lisa Hyatt,1
Yael Mer,1
Daniela Haufe,1
Mary Martin,1
Elizabeth A. Wilkes,1
Robyn Miller,1
Stephanie Taylor,1
Lynn Alexander,1
Moira Dryer,1
Katherine Turczan,1
Jane Veeder,1
Sigríður Björnsdóttir,1
Hella Skowronski,1
Ithell Colquhoun,1
Claire Barclay,1
Diane Wakaski,1
Manya Kuzemchenko,1
Clementine Helene Dufau,1
Elizabeth Timberman,1
Joan Livingstone,1
Lil Picard,1
Renate Grindler,1
Eva Björklund,1
Anna Letycia Quadros,1
Pat Passlof,1
Susan Hefuna,1
Margret Hildebrand,1
Wijnanda Deroo,1
Sam Moyer,1
Katherine Schmidt,1
Mary Vieira,1
Rhonda Abrams,1
Ines Wetzel,1
Mary Kelly,1
Francesca Gabbiani,1
Amanda Knox Sather,1
Katinka Mann,1
Cathy Wilkes,1
Elizabeth Butterworth,1
Yukiyo Matsushita,1
Riba Rovira,1
Annette Peacock,1
Laura Andreson,1
Edit deAk,1
Charlotte Schmidt,1
Jane Wenger,1
Elsa Fischer-Treyden,1
Louise Kruger,1
Nadia Coën,1
Caroline Lucas,1
Hildegarde Haas,1
Ilit Azoulay,1
Elena Bortsova,1
Deborah Gottheil Nehmad,1
Toni Hughes,1
Miuccia Prada,1
Eiko Ishioka,1
Helen Phillips,1
Su Braden,1
Oliva Perotes,1
Maria Benktzon,1
Grete Jalk,1
Katharina Hager,1
Marianna Schmidt,1
Ada V. Gabriel,1
Deanna Kamiel,1
Keiko Minami,1
Beatrix Zobl,1
Josefa Santos,1
Nina Soboleva,1
Tamiko Thiel,1
Charlotte Rudolph,1
Sachiko Hamada,1
Nancy Azara,1
Jazz Lee Alston,1
Alix Pearlstein,1
Petah Coyne,1
Virginia San Fratello,1
